code,description
0001A,ADM SARSCOV2 30MCG/0.3ML 1ST
0001F,HRT FAILURE ASSESSED
0001M,"Infectious disease, HCV, six biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, and haptoglobin) utilizing serum, prognostic algorithm reported as scores for fibrosis and necroinflammatory activity in liver (Deprecated) "
0001T,
0001U,Red blood cell typing
0002A,ADM SARSCOV2 30MCG/0.3ML 2ND
0002F,
0002M,LIVER DIS 10 ASSAYS SERUM ALGORITHM W/ASH
0002T,
0002U,ONC CLRCT QUAN 3 UR METABOLITES ALG ADNMTS PLP
0003A,"Administration of coronavirus vaccine 1, booster "
0003F,
0003M,LIVER DIS 10 ASSAYS SERUM ALGORITHM W/NASH
0003T,
0003U,ONC OVARIAN ASSAY 5 PROTEINS SERUM ALG SCOR
0004A,"Administration of coronavirus vaccine 1, reserved "
0004F,
0004M,SCOLIOSIS DNA ALYS SALIVA ALGORITHM
0004U,"Infectious disease (bacterial), DNA, 27 resistance genes, PCR amplification and probe hybridization in microarray format (molecular detection and identification of AmpC, carbapenemase and ESBL coding genes), bacterial culture colonies, rep... (Deprecated) "
0005F,OSTEOARTHRITIS COMPOSITE
0005T,
0005U,ONCO PRST8 GENE XPRS PRFL 3 GENE UR ALG RSK SCOR
0006F,
0006M,ONCOLOGY HEP MRNA 161 GENES RISK CLASSIFIER
0006T,
0006U,"Detection of interacting medications, substances, supplements and foods, 120 or more analytes, definitive chromatography with mass spectrometry, urine, description and severity of each interaction identified, per date of service (Deprecated) "
0007F,
0007M,ONCOLOGY GASTRO 51 GENES NOMOGRAM DISEASE INDEX
0007T,
0007U,Testing for presence of drug in urine
0008F,
0008M,"Oncology (breast), mRNA analysis of 58 genes using hybrid capture, on formalin-fixed paraffin-embedded (FFPE) tissue, prognostic algorithm reported as a risk score (Deprecated) "
0008T,
0008U,HPYLORI DETECTION & ANTIBIOTIC RESISTANCE DNA
0009F,
0009M,"Fetal aneuploidy (trisomy 21, and 18) DNA sequence analysis of selected regions using maternal plasma, algorithm reported as a risk score for each trisomy (Deprecated) "
0009T,
0009U,Gene analysis of breast tumor tissue
00100,ANESTHESIA SALIVARY GLANDS WITH BIOPSY
00102,Anesthesia for plastic repair of cleft lip
00103,Anesthesia for procedure on eyelid
00104,ANESTHESIA ELECTROCONVULSIVE THERAPY
0010F,
0010M,"Oncology (high-grade prostate cancer), biochemical assay of four proteins (total psa, free psa, intact psa and human kallidrein 2 (hk2)) plus patient age, digital rectal examination status, and no history of positive prostate biopsy, utili... (Deprecated) "
0010T,
0010U,Typing of bacterial strain
0011A,ADM SARSCOV2 100MCG/0.5ML1ST
0011F,
0011M,ONC PRST8 CA MRNA 12 GENES BLD PLSM &UR ALG
0011U,Prescription drug monitoring in oral fluid
00120,Anesthesia for procedure on inner ear
00124,Anesthesia for otoscopy
00126,Anesthesia for tympanotomy
0012A,ADM SARSCOV2 100MCG/0.5ML2ND
0012F,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSMT
0012M,ONC MRNA 5 GENES UR ALG RISK UROTHELIAL CANCER
0012T,
0012U,Gene analysis for germline disorder
0013A,"Administration of coronavirus vaccine 2, booster "
0013M,ONC MRNA 5 GENES UR ALG RISK RECR UROTHELIAL CA
